observation_id,snapshot_id,observed_at,fetch_status,canonical_url,http_status,notes
obs_demo_backend_01,snap_demo_backend_01,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_01,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_02,snap_demo_backend_02,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_02,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_03,snap_demo_backend_03,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_03,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_04,snap_demo_backend_04,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_04,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_05,snap_demo_backend_05,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_05,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_06,snap_demo_backend_06,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_06,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_07,snap_demo_backend_07,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_07,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_08,snap_demo_backend_08,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_08,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_09,snap_demo_backend_09,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_09,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_10,snap_demo_backend_10,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_10,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_11,snap_demo_backend_11,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_11,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_12,snap_demo_backend_12,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_12,200,생성 데이터. 네트워크 호출 없이 만들었다.
obs_demo_backend_13,snap_demo_backend_13,2026-07-20T09:00:00+09:00,ok,https://careersignal.example/demo/backend/dp_backend_13,200,생성 데이터. 네트워크 호출 없이 만들었다.
